#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
IV	5282731	5282752	21UR-200	255.0	-	5282731	5282752	0	1	21	5282726	pis_not_detected_CAGE.bed
IV	5386924	5386945	21UR-8696	255.0	+	5386924	5386945	0	1	21	5386919	pis_not_detected_CAGE.bed
IV	16989832	16989853	21UR-13962	255.0	+	16989832	16989853	0	1	21	16989831	pis_not_detected_CAGE.bed
IV	6305451	6305472	21UR-6424	255.0	+	6305451	6305472	0	1	21	6305445	pis_not_detected_CAGE.bed
IV	15970589	15970610	21UR-15159	255.0	-	15970589	15970610	0	1	21	15970588	pis_not_detected_CAGE.bed
IV	14673436	14673457	21UR-4764	255.0	-	14673436	14673457	0	1	21	14673435	pis_not_detected_CAGE.bed
IV	16772867	16772888	21UR-10572	255.0	-	16772867	16772888	0	1	21	16772866	pis_not_detected_CAGE.bed
IV	5957513	5957534	21UR-2380	255.0	-	5957513	5957534	0	1	21	5957508	pis_not_detected_CAGE.bed
IV	16870043	16870064	21UR-11405	255.0	-	16870043	16870064	0	1	21	16870042	pis_not_detected_CAGE.bed
IV	13954113	13954134	21UR-14483	255.0	+	13954113	13954134	0	1	21	13954112	pis_not_detected_CAGE.bed
IV	14089383	14089404	21UR-5714	255.0	-	14089383	14089404	0	1	21	14089382	pis_not_detected_CAGE.bed
IV	16434971	16434992	21UR-1706	255.0	-	16434971	16434992	0	1	21	16434970	pis_not_detected_CAGE.bed
IV	5809472	5809493	21UR-5028	255.0	-	5809472	5809493	0	1	21	5809467	pis_not_detected_CAGE.bed
IV	16372383	16372404	21UR-7721	255.0	+	16372383	16372404	0	1	21	16372382	pis_not_detected_CAGE.bed
IV	16117210	16117231	21UR-13844	255.0	-	16117210	16117231	0	1	21	16117209	pis_not_detected_CAGE.bed
IV	5007177	5007198	21UR-6321	255.0	+	5007177	5007198	0	1	21	5007172	pis_not_detected_CAGE.bed
IV	15094947	15094968	21UR-3460	255.0	+	15094947	15094968	0	1	21	15094946	pis_not_detected_CAGE.bed
IV	15092936	15092957	21UR-1332	255.0	-	15092936	15092957	0	1	21	15092935	pis_not_detected_CAGE.bed
IV	14439203	14439224	21UR-442	255.0	-	14439203	14439224	0	1	21	14439202	pis_not_detected_CAGE.bed
IV	16686223	16686244	21UR-3286	255.0	+	16686223	16686244	0	1	21	16686222	pis_not_detected_CAGE.bed
IV	16186762	16186783	21UR-10022	255.0	+	16186762	16186783	0	1	21	16186761	pis_not_detected_CAGE.bed
IV	15655739	15655760	21UR-7436	255.0	+	15655739	15655760	0	1	21	15655738	pis_not_detected_CAGE.bed
IV	15773827	15773848	21UR-7412	255.0	-	15773827	15773848	0	1	21	15773826	pis_not_detected_CAGE.bed
IV	5869970	5869991	21UR-906	255.0	-	5869970	5869991	0	1	21	5869965	pis_not_detected_CAGE.bed
IV	6431322	6431343	21UR-13787	255.0	+	6431322	6431343	0	1	21	6431316	pis_not_detected_CAGE.bed
IV	5337352	5337373	21UR-12200	255.0	-	5337352	5337373	0	1	21	5337347	pis_not_detected_CAGE.bed
IV	14047465	14047486	21UR-8842	255.0	-	14047465	14047486	0	1	21	14047464	pis_not_detected_CAGE.bed
IV	16270390	16270411	21UR-15468	255.0	-	16270390	16270411	0	1	21	16270389	pis_not_detected_CAGE.bed
IV	14381502	14381523	21UR-8062	255.0	+	14381502	14381523	0	1	21	14381501	pis_not_detected_CAGE.bed
IV	5815838	5815859	21UR-187	255.0	+	5815838	5815859	0	1	21	5815833	pis_not_detected_CAGE.bed
IV	15883985	15884006	21UR-9891	255.0	+	15883985	15884006	0	1	21	15883984	pis_not_detected_CAGE.bed
IV	13599138	13599159	21UR-10593	255.0	-	13599138	13599159	0	1	21	13599137	pis_not_detected_CAGE.bed
V	3448741	3448762	21UR-15093	255.0	-	3448741	3448762	0	1	21	3448738	pis_not_detected_CAGE.bed
IV	14733375	14733396	21UR-9994	255.0	+	14733375	14733396	0	1	21	14733374	pis_not_detected_CAGE.bed
IV	14129156	14129177	21UR-1408	255.0	-	14129156	14129177	0	1	21	14129155	pis_not_detected_CAGE.bed
IV	14610753	14610774	21UR-1880	255.0	+	14610753	14610774	0	1	21	14610752	pis_not_detected_CAGE.bed
IV	17181848	17181869	21UR-7251	255.0	+	17181848	17181869	0	1	21	17181847	pis_not_detected_CAGE.bed
IV	16982880	16982901	21UR-8610	255.0	+	16982880	16982901	0	1	21	16982879	pis_not_detected_CAGE.bed
IV	15207406	15207427	21UR-14444	255.0	-	15207406	15207427	0	1	21	15207405	pis_not_detected_CAGE.bed
IV	14548834	14548855	21UR-13686	255.0	+	14548834	14548855	0	1	21	14548833	pis_not_detected_CAGE.bed
IV	14497949	14497970	21UR-3708	255.0	-	14497949	14497970	0	1	21	14497948	pis_not_detected_CAGE.bed
IV	15872575	15872596	21UR-11393	255.0	-	15872575	15872596	0	1	21	15872574	pis_not_detected_CAGE.bed
IV	14683912	14683933	21UR-3001	255.0	-	14683912	14683933	0	1	21	14683911	pis_not_detected_CAGE.bed
IV	15237102	15237123	21UR-7712	255.0	+	15237102	15237123	0	1	21	15237101	pis_not_detected_CAGE.bed
IV	13698257	13698278	21UR-7322	255.0	+	13698257	13698278	0	1	21	13698256	pis_not_detected_CAGE.bed
IV	16567652	16567673	21UR-11558	255.0	-	16567652	16567673	0	1	21	16567651	pis_not_detected_CAGE.bed
III	749407	749428	21UR-13981	255.0	-	749407	749428	0	1	21	749400	pis_not_detected_CAGE.bed
IV	6852022	6852043	21UR-9438	255.0	-	6852022	6852043	0	1	21	6852016	pis_not_detected_CAGE.bed
IV	5827944	5827965	21UR-6897	255.0	+	5827944	5827965	0	1	21	5827939	pis_not_detected_CAGE.bed
IV	6994410	6994431	21UR-6755	255.0	-	6994410	6994431	0	1	21	6994404	pis_not_detected_CAGE.bed
IV	5435662	5435683	21UR-2136	255.0	+	5435662	5435683	0	1	21	5435657	pis_not_detected_CAGE.bed
IV	9669189	9669210	21UR-13186	255.0	+	9669189	9669210	0	1	21	9669180	pis_not_detected_CAGE.bed
IV	6131069	6131090	21UR-5571	255.0	+	6131069	6131090	0	1	21	6131063	pis_not_detected_CAGE.bed
IV	14599592	14599613	21UR-1138	255.0	-	14599592	14599613	0	1	21	14599591	pis_not_detected_CAGE.bed
IV	15394409	15394430	21UR-1387	255.0	-	15394409	15394430	0	1	21	15394408	pis_not_detected_CAGE.bed
IV	14259502	14259523	21UR-2533	255.0	+	14259502	14259523	0	1	21	14259501	pis_not_detected_CAGE.bed
IV	16175668	16175689	21UR-15256	255.0	+	16175668	16175689	0	1	21	16175667	pis_not_detected_CAGE.bed
IV	14231329	14231350	21UR-2248	255.0	+	14231329	14231350	0	1	21	14231328	pis_not_detected_CAGE.bed
IV	14463087	14463108	21UR-719	255.0	-	14463087	14463108	0	1	21	14463086	pis_not_detected_CAGE.bed
IV	15214364	15214385	21UR-11408	255.0	-	15214364	15214385	0	1	21	15214363	pis_not_detected_CAGE.bed
IV	14144313	14144334	21UR-15119	255.0	+	14144313	14144334	0	1	21	14144312	pis_not_detected_CAGE.bed
IV	14015170	14015191	21UR-7884	255.0	+	14015170	14015191	0	1	21	14015169	pis_not_detected_CAGE.bed
IV	14836134	14836155	21UR-4626	255.0	+	14836134	14836155	0	1	21	14836133	pis_not_detected_CAGE.bed
X	9239115	9239136	21UR-13848	255.0	-	9239115	9239136	0	1	21	9239106	pis_not_detected_CAGE.bed
IV	16985132	16985153	21UR-7957	255.0	+	16985132	16985153	0	1	21	16985131	pis_not_detected_CAGE.bed
IV	14545372	14545393	21UR-13863	255.0	+	14545372	14545393	0	1	21	14545371	pis_not_detected_CAGE.bed
IV	16750004	16750025	21UR-6194	255.0	+	16750004	16750025	0	1	21	16750003	pis_not_detected_CAGE.bed
IV	16540136	16540157	21UR-849	255.0	+	16540136	16540157	0	1	21	16540135	pis_not_detected_CAGE.bed
IV	15338236	15338257	21UR-13418	255.0	-	15338236	15338257	0	1	21	15338235	pis_not_detected_CAGE.bed
IV	13641900	13641921	21UR-8129	255.0	-	13641900	13641921	0	1	21	13641899	pis_not_detected_CAGE.bed
IV	7755982	7756003	21UR-15050	255.0	+	7755982	7756003	0	1	21	7755975	pis_not_detected_CAGE.bed
IV	14277766	14277787	21UR-11582	255.0	-	14277766	14277787	0	1	21	14277765	pis_not_detected_CAGE.bed
IV	6458788	6458809	21UR-8080	255.0	-	6458788	6458809	0	1	21	6458782	pis_not_detected_CAGE.bed
IV	14667555	14667576	21UR-7601	255.0	-	14667555	14667576	0	1	21	14667554	pis_not_detected_CAGE.bed
IV	13896590	13896611	21UR-11071	255.0	-	13896590	13896611	0	1	21	13896589	pis_not_detected_CAGE.bed
IV	14648962	14648983	21UR-6610	255.0	+	14648962	14648983	0	1	21	14648961	pis_not_detected_CAGE.bed
IV	14988306	14988327	21UR-14387	255.0	+	14988306	14988327	0	1	21	14988305	pis_not_detected_CAGE.bed
X	17457713	17457734	21UR-14151	255.0	+	17457713	17457734	0	1	21	17457712	pis_not_detected_CAGE.bed
IV	14908524	14908545	21UR-2506	255.0	+	14908524	14908545	0	1	21	14908523	pis_not_detected_CAGE.bed
IV	13802368	13802389	21UR-5905	255.0	+	13802368	13802389	0	1	21	13802367	pis_not_detected_CAGE.bed
IV	14056194	14056215	21UR-8849	255.0	-	14056194	14056215	0	1	21	14056193	pis_not_detected_CAGE.bed
IV	15205999	15206020	21UR-11166	255.0	-	15205999	15206020	0	1	21	15205998	pis_not_detected_CAGE.bed
IV	16107578	16107599	21UR-431	255.0	+	16107578	16107599	0	1	21	16107577	pis_not_detected_CAGE.bed
IV	13600030	13600051	21UR-14554	255.0	+	13600030	13600051	0	1	21	13600029	pis_not_detected_CAGE.bed
IV	14900067	14900088	21UR-14379	255.0	+	14900067	14900088	0	1	21	14900066	pis_not_detected_CAGE.bed
IV	15686321	15686342	21UR-7997	255.0	+	15686321	15686342	0	1	21	15686320	pis_not_detected_CAGE.bed
IV	16914654	16914675	21UR-5307	255.0	-	16914654	16914675	0	1	21	16914653	pis_not_detected_CAGE.bed
IV	14125769	14125790	21UR-2960	255.0	+	14125769	14125790	0	1	21	14125768	pis_not_detected_CAGE.bed
IV	15413018	15413039	21UR-8187	255.0	-	15413018	15413039	0	1	21	15413017	pis_not_detected_CAGE.bed
IV	16634254	16634275	21UR-7731	255.0	+	16634254	16634275	0	1	21	16634253	pis_not_detected_CAGE.bed
IV	15612440	15612461	21UR-8359	255.0	+	15612440	15612461	0	1	21	15612439	pis_not_detected_CAGE.bed
IV	5620143	5620164	21UR-10704	255.0	+	5620143	5620164	0	1	21	5620138	pis_not_detected_CAGE.bed
IV	14288781	14288802	21UR-15477	255.0	+	14288781	14288802	0	1	21	14288780	pis_not_detected_CAGE.bed
IV	5326812	5326833	21UR-8044	255.0	+	5326812	5326833	0	1	21	5326807	pis_not_detected_CAGE.bed
IV	5750708	5750729	21UR-11077	255.0	-	5750708	5750729	0	1	21	5750703	pis_not_detected_CAGE.bed
III	6101409	6101430	21UR-14987	255.0	+	6101409	6101430	0	1	21	6101403	pis_not_detected_CAGE.bed
IV	15564169	15564190	21UR-13396	255.0	-	15564169	15564190	0	1	21	15564168	pis_not_detected_CAGE.bed
IV	14363368	14363389	21UR-4435	255.0	-	14363368	14363389	0	1	21	14363367	pis_not_detected_CAGE.bed
IV	14904362	14904383	21UR-4098	255.0	+	14904362	14904383	0	1	21	14904361	pis_not_detected_CAGE.bed
IV	16226472	16226493	21UR-1021	255.0	+	16226472	16226493	0	1	21	16226471	pis_not_detected_CAGE.bed
I	9431742	9431763	21UR-14084	255.0	-	9431742	9431763	0	1	21	9431733	pis_not_detected_CAGE.bed
IV	13755539	13755560	21UR-14591	255.0	+	13755539	13755560	0	1	21	13755538	pis_not_detected_CAGE.bed
IV	13954657	13954678	21UR-10532	255.0	+	13954657	13954678	0	1	21	13954656	pis_not_detected_CAGE.bed
IV	16079411	16079432	21UR-1862	255.0	+	16079411	16079432	0	1	21	16079410	pis_not_detected_CAGE.bed
IV	13800749	13800770	21UR-98	255.0	-	13800749	13800770	0	1	21	13800748	pis_not_detected_CAGE.bed
IV	16593667	16593688	21UR-2871	255.0	+	16593667	16593688	0	1	21	16593666	pis_not_detected_CAGE.bed
IV	15243049	15243070	21UR-10069	255.0	-	15243049	15243070	0	1	21	15243048	pis_not_detected_CAGE.bed
IV	16003596	16003617	21UR-13096	255.0	+	16003596	16003617	0	1	21	16003595	pis_not_detected_CAGE.bed
IV	15863177	15863198	21UR-7499	255.0	-	15863177	15863198	0	1	21	15863176	pis_not_detected_CAGE.bed
IV	5817097	5817118	21UR-4977	255.0	-	5817097	5817118	0	1	21	5817092	pis_not_detected_CAGE.bed
IV	14049289	14049310	21UR-12079	255.0	+	14049289	14049310	0	1	21	14049288	pis_not_detected_CAGE.bed
IV	14728600	14728621	21UR-14546	255.0	-	14728600	14728621	0	1	21	14728599	pis_not_detected_CAGE.bed
IV	15239590	15239611	21UR-8232	255.0	-	15239590	15239611	0	1	21	15239589	pis_not_detected_CAGE.bed
IV	5182762	5182783	21UR-2798	255.0	-	5182762	5182783	0	1	21	5182757	pis_not_detected_CAGE.bed
IV	14266152	14266173	21UR-6006	255.0	+	14266152	14266173	0	1	21	14266151	pis_not_detected_CAGE.bed
IV	13707548	13707569	21UR-5826	255.0	+	13707548	13707569	0	1	21	13707547	pis_not_detected_CAGE.bed
IV	14029459	14029480	21UR-3488	255.0	-	14029459	14029480	0	1	21	14029458	pis_not_detected_CAGE.bed
IV	12262095	12262116	21UR-12220	255.0	+	12262095	12262116	0	1	21	12262094	pis_not_detected_CAGE.bed
IV	17032455	17032476	21UR-9112	255.0	+	17032455	17032476	0	1	21	17032454	pis_not_detected_CAGE.bed
IV	15589163	15589184	21UR-10589	255.0	-	15589163	15589184	0	1	21	15589162	pis_not_detected_CAGE.bed
IV	16549510	16549531	21UR-1422	255.0	+	16549510	16549531	0	1	21	16549509	pis_not_detected_CAGE.bed
V	6614914	6614935	21UR-14330	255.0	-	6614914	6614935	0	1	21	6614908	pis_not_detected_CAGE.bed
IV	16059091	16059112	21UR-3409	255.0	-	16059091	16059112	0	1	21	16059090	pis_not_detected_CAGE.bed
IV	11839879	11839900	21UR-15540	255.0	-	11839879	11839900	0	1	21	11839878	pis_not_detected_CAGE.bed
IV	5888159	5888180	21UR-8828	255.0	-	5888159	5888180	0	1	21	5888154	pis_not_detected_CAGE.bed
IV	5857989	5858010	21UR-4374	255.0	+	5857989	5858010	0	1	21	5857984	pis_not_detected_CAGE.bed
IV	15670607	15670628	21UR-2293	255.0	-	15670607	15670628	0	1	21	15670606	pis_not_detected_CAGE.bed
