#Condition A: pooled_N2_run2/IRFinder-IR-dir.txt
#Condition B: pooled_TFIIS_I_run2/IRFinder-IR-dir.txt
Chr	Start	End	Intron-GeneName/GeneID	-	Direction	ExcludedBases	p-diff	p-increased	p-decreased	A-IRratio	A-IRok	A-IntronCover	A-IntronDepth	A-SplicesMax	A-SplicesExact	B-IRratio	B-IRok	B-IntronCover	B-IntronDepth	B-SplicesMax	B-SplicesExact
III	221556	221617	klp-20/WBGene00002230/clean	0	+	10	1.8949e-14	1.8949e-14	1	0	-	0	0	92	92	0.614054	NonUniformIntronCover	1	27.0476	17	17
V	13552094	13552145	C56A3.5/WBGene00008344/clean	0	+	10	1.9474e-14	1	1.9474e-14	0.510345	-	1	74	71	71	0.0657895	-	1	10	142	142
II	13495659	13495711	drr-1/WBGene00009741/clean	0	-	10	3.28944e-14	3.28944e-14	1	0.0075188	-	1	1	132	132	0.325792	NonUniformIntronCover	1	72	149	149
IV	17343965	17344017	C49C3.11/WBGene00008201/clean	0	+	10	3.50693e-14	3.50693e-14	1	0	-	0	0	89	89	1	LowSplicing	1	15	0	0
I	4265347	4265407	mus-81/WBGene00016602/clean	0	+	10	4.61185e-14	4.61185e-14	1	0.00150376	-	1	1	664	664	0.0927152	-	1	28	274	274
IV	1709354	1709419	pbs-1/WBGene00003947/clean	0	-	10	5.36149e-14	1	5.36149e-14	0.0344852	-	1	237.696	6655	6655	0.0134755	NonUniformIntronCover	1	71.5217	5232	5232
II	11454103	11454156	rsp-1/WBGene00004698/clean	0	+	10	8.14573e-14	1	8.14573e-14	0.382775	-	1	80	129	129	0.00934579	-	1	1	106	106
II	12043005	12043065	Y17G7B.13/WBGene00012466/clean	0	+	10	1.12298e-13	1	1.12298e-13	0.432343	-	0.98	65.5	86	86	0.0334572	NonUniformIntronCover	0.96	4.5	130	130
I	6493447	6493500	mdt-18/WBGene00007018/clean	0	-	10	2.04848e-13	2.04848e-13	1	0.003663	NonUniformIntronCover	1	1	255	255	0.348837	-	1	15	28	28
V	9679950	9680003	ZK287.9/WBGene00013968/clean	0	+	10	2.07965e-13	2.07965e-13	1	0	-	0	0	238	238	0.20438	-	1	28	109	109
X	9959419	9959472	ZC506.1/WBGene00013919/clean	0	+	10	2.19295e-13	2.19295e-13	1	0	-	0	0	174	174	0.333333	-	1	21	42	42
IV	14071783	14071861	lst-3/WBGene00003085/clean	0	+	10	2.66938e-13	2.66938e-13	1	0.0250588	NonUniformIntronCover	1	103.429	4024	4024	0.0627382	-	1	146.393	2187	2187
IV	8541854	8541914	hyl-1/WBGene00002043/clean	0	+	10	4.3963e-13	4.3963e-13	1	4.13776e-05	NonUniformIntronCover	0.06	0	1450	1450	0.0335052	-	1	26	750	750
III	11523311	11523381	such-1/WBGene00013443/clean	0	-	10	5.04916e-13	5.04916e-13	1	0.225916	-	1	199.917	685	685	0.466614	-	1	195.083	223	223
II	8622844	8622903	T22C8.4/WBGene00011925/clean	0	-	10	5.9496e-13	5.9496e-13	1	0	-	0	0	50	50	1	LowSplicing	1	24	0	0
IV	8286948	8287009	K07H8.10/WBGene00019510/clean	0	-	10	6.19731e-13	6.19731e-13	1	0	-	0	0	163	163	0.441176	NonUniformIntronCover	0.882353	15	19	19
IV	16995976	16996027	rom-4/WBGene00004403/clean	0	+	10	6.3999e-13	6.3999e-13	1	0.0472444	-	1	74.5294	1503	1503	0.126297	-	1	142.529	986	986
II	13575958	13576010	lin-38/WBGene00013006/clean	0	+	10	6.60441e-13	1	6.60441e-13	0.0160878	NonUniformIntronCover	1	92.3333	5647	5647	0.000223901	-	0.452381	0.388889	2020	2020
III	2785624	2785690	Y71H2AM.20/WBGene00022185/clean	0	-	10	6.7492e-13	1	6.7492e-13	0.88785	-	1	126.667	16	16	0.010101	NonUniformIntronCover	0.357143	0.333333	35	35
II	8716867	8716919	T01B7.5/WBGene00011311/clean	0	+	10	8.18291e-13	8.18291e-13	1	0.000942951	-	1	6	6357	6357	0.0130748	-	1	29	2189	2189
III	4962108	4962161	C27F2.9/WBGene00043156/clean	0	-	10	8.28961e-13	8.28961e-13	1	0.0125	NonUniformIntronCover	1	2	158	158	0.425926	-	1	23	31	31
V	7543205	7543361	nhx-3/WBGene00003731/clean	0	-	10	8.79068e-13	8.79068e-13	1	0.00475587	-	0.410959	0.283333	86	74	0.471783	NonUniformIntronCover	1	34.8333	39	39
II	8525787	8525867	mrps-18B/WBGene00011759/clean	0	+	10	1.04026e-12	1	1.04026e-12	0.272788	-	1	58.1429	155	155	0	-	0	0	127	127
V	10355638	10355707	K07C5.6/WBGene00010629/clean	0	-	10	1.28685e-12	1.28685e-12	1	0.0173913	-	1	2	113	113	0.617647	NonUniformIntronCover	0.813559	21	13	13
III	10985446	10985503	col-93/WBGene00000668/clean	0	-	10	1.33978e-12	1.33978e-12	1	0	-	0	0	170	170	0.266449	NonUniformIntronCover	0.957447	25.7895	71	71
I	6064271	6064403	mbd-2/WBGene00023409/clean	0	+	10	1.52932e-12	1.52932e-12	1	0.0132584	NonUniformIntronCover	0.47541	4.34	323	323	0.258916	-	0.893443	22.36	64	64
I	12097008	12097068	Y47H10A.5/WBGene00012961/clean	0	-	10	1.65335e-12	1	1.65335e-12	0.414634	-	1	17	24	24	0.0282903	-	1	13.8	474	474
X	16160984	16161039	F09C8.1/WBGene00008621/clean	0	-	10	1.70457e-12	1.70457e-12	1	0.0238095	-	1	1	41	41	0.902349	NonUniformIntronCover	1	64.6842	7	7
III	3730949	3731107	F34D10.8/WBGene00009377/clean	0	+	10	2.13477e-12	1	2.13477e-12	0.379775	NonUniformIntronCover	0.614865	14.0833	23	23	0.00627353	-	0.635135	1.66667	264	264
IV	13417978	13418030	pik-1/WBGene00004029/clean	0	+	10	2.21799e-12	2.21799e-12	1	0.00167224	-	1	1	597	597	0.0857143	-	1	27	288	288
III	4917578	4917714	rpb-8/WBGene00017830/clean	0	-	10	2.58449e-12	2.58449e-12	1	0.00880503	-	1	28	3152	3152	0.0433628	NonUniformIntronCover	1	49	1081	1081
I	1629225	1629281	Y73E7A.1/WBGene00022268/clean	0	+	12	2.63551e-12	2.63551e-12	1	0.0430948	-	1	28.7778	639	639	0.178082	NonUniformIntronCover	1	73.6667	340	340
V	2730830	2730887	dod-3/WBGene00016052/clean	0	-	10	3.08918e-12	1	3.08918e-12	0.829268	-	1	68	14	14	0.212644	-	1	37	137	137
V	11771324	11771382	F55A11.4/WBGene00010077/clean	0	+	10	3.24562e-12	1	3.24562e-12	0.632653	NonUniformIntronCover	1	31	18	18	0	-	0	0	63	63
X	11558248	11558325	C35C5.10/WBGene00007959/clean	0	+	10	3.24652e-12	3.24652e-12	1	0.00210084	-	0.746269	1	475	475	0.175	NonUniformIntronCover	0.731343	14	66	66
I	9937896	9937955	Y106G6A.1/WBGene00013694/clean	0	-	10	3.50479e-12	3.50479e-12	1	0.0116279	-	1	1	85	85	0.677419	NonUniformIntronCover	1	21	10	10
V	10803901	10803953	secs-1/WBGene00008379/clean	0	-	10	4.11544e-12	4.11544e-12	1	0	NonUniformIntronCover	0	0	118	118	0.333333	-	1	31	62	62
X	1190593	1190680	T13G4.4/WBGene00020491/clean	0	-	10	4.93288e-12	1	4.93288e-12	1	LowSplicing	1	16	0	0	0	-	0	0	58	58
I	6563190	6563355	F57B10.5/WBGene00019003/clean	0	+	10	5.01247e-12	1	5.01247e-12	0.0422004	NonUniformIntronCover	0.832258	31.6349	718	718	0	-	0	0	900	900
III	1202775	1202838	Y119D3B.12/WBGene00022489/clean	0	+	10	5.05253e-12	5.05253e-12	1	0.000141844	NonUniformIntronCover	0.0188679	0	133	133	0.338235	-	1	23	45	45
X	3404344	3404414	vit-5/WBGene00006929/clean	0	+	10	5.77546e-12	5.77546e-12	1	0.0155649	NonUniformIntronCover	1	60.6667	3837	3835	0.112821	-	1	22	173	173
V	361130	361184	T22H9.1/WBGene00020705/clean	0	+	10	7.13318e-12	1	7.13318e-12	0.172161	-	1	47	226	226	0	-	0	0	193	193
I	2727146	2727199	snr-7/WBGene00004920/clean	0	+	10	7.38324e-12	1	7.38324e-12	0.148936	-	1	28	160	160	0	-	0	0	267	267
V	14082995	14083046	D1086.10/WBGene00044080/known-exon	0	+	10	7.39427e-12	1	7.39427e-12	0.24674	-	1	358.353	1094	1094	0.0780236	NonUniformIntronCover	1	27.5882	326	326
X	11057633	11057687	lpr-3/WBGene00012261/clean	0	+	10	9.31131e-12	1	9.31131e-12	0.295742	NonUniformIntronCover	0.818182	14.2778	34	34	0	-	0	0	213	213
V	12411516	12411569	cdr-7/WBGene00010472/clean	0	-	10	9.49907e-12	9.49907e-12	1	0.0350877	-	1	2	55	55	0.962963	LowSplicing	1	26	1	1
II	7530048	7530213	ZK1290.5/WBGene00022887/clean	0	+	10	9.77734e-12	1	9.77734e-12	0.607884	-	1	97.6667	63	63	0.230849	NonUniformIntronCover	1	98.4444	328	328
I	9248480	9248534	ent-7/WBGene00009499/clean	0	-	10	1.01625e-11	1.01625e-11	1	0	-	0	0	53	53	0.947368	LowSplicing	1	18	1	1
X	5114583	5114722	apl-1/WBGene00000149/clean	0	-	10	1.05754e-11	1	1.05754e-11	0.19084	NonUniformIntronCover	0.728682	27.8302	118	118	0	-	0	0	203	203
III	8020541	8020616	lin-36/WBGene00003021/clean	0	-	10	1.16333e-11	1.16333e-11	1	0.0251655	-	1	38.8519	1505	1487	0.113487	NonUniformIntronCover	1	44.037	344	344
V	9991502	9991557	rde-1/WBGene00004323/clean	0	-	10	1.33413e-11	1	1.33413e-11	0.478388	-	1	43.1053	47	47	0	NonUniformIntronCover	0	0	69	69
II	4935899	4935950	ZK546.5/WBGene00022762/clean	0	+	10	1.45205e-11	1	1.45205e-11	0.523364	-	1	29.6471	27	27	0.04	-	1	5	120	120
X	15768048	15768110	Y7A5A.1/WBGene00012407/clean	0	-	10	1.52059e-11	1.52059e-11	1	0.0540541	-	1	2	35	35	1	LowSplicing	1	80.3182	0	0
I	2063418	2063482	Y37E3.1/WBGene00021346/clean	0	-	10	2.50887e-11	1	2.50887e-11	0.344262	NonUniformIntronCover	0.888889	21	40	40	0	-	0	0	124	124
II	6197719	6197805	C30B5.2/WBGene00016244/clean	0	+	10	2.82796e-11	2.82796e-11	1	0	-	0	0	405	349	0.111111	NonUniformIntronCover	1	19	152	152
I	462173	462229	W04C9.4/WBGene00021026/clean	0	+	10	2.975e-11	1	2.975e-11	0.181214	-	1	87.2	394	394	0.00568182	-	0.5	1	175	175
III	5548259	5548313	F09F7.5/WBGene00017302/clean	0	+	10	3.15037e-11	3.15037e-11	1	0.0211706	NonUniformIntronCover	1	2.83333	131	115	0.326797	-	1	50	103	90
X	353658	353790	sor-3/WBGene00015429/clean	0	+	10	3.82758e-11	3.82758e-11	1	0.0234258	NonUniformIntronCover	0.598361	7.82	326	325	0.196826	-	1	40.68	166	166
II	2327386	2327437	ZK1240.8/WBGene00022872/clean	0	-	10	3.91331e-11	1	3.91331e-11	0.823529	LowSplicing	1	14	3	3	0	-	0	0	67	67
II	15026204	15026262	Y53F4B.13/WBGene00013160/clean	0	+	10	4.20405e-11	1	4.20405e-11	0.0338352	-	1	139.45	3982	3977	0.0091751	NonUniformIntronCover	1	21.4	2301	2301
III	11581039	11581108	Y66D12A.6/WBGene00013432/clean	0	-	10	4.66536e-11	1	4.66536e-11	0.169022	-	1	100.48	494	494	0.00549451	-	1	1	181	181
V	7774786	7774841	grl-10/WBGene00001719/clean	0	+	10	5.53277e-11	5.53277e-11	1	0	-	0	0	40	40	0.693878	NonUniformIntronCover	1	68	30	30
I	7173529	7173592	M05B5.2/WBGene00010870/clean	0	-	10	6.95478e-11	1	6.95478e-11	0.75	NonUniformIntronCover	1	27	9	9	0	-	0	0	47	47
II	11236294	11236347	cchl-1/WBGene00011527/clean	0	-	10	7.53934e-11	1	7.53934e-11	0.0255385	-	1	70.2632	2681	2681	0	-	0	0	1069	1069
II	5289682	5289773	ZK622.5/WBGene00044667/clean	0	+	10	7.90997e-11	7.90997e-11	1	0	-	0	0	62	62	0.481911	NonUniformIntronCover	1	42.7879	46	46
I	5038638	5038694	lfe-2/WBGene00002979/clean	0	+	10	8.39836e-11	8.39836e-11	1	0	-	0	0	113	113	0.311178	NonUniformIntronCover	0.956522	25.75	57	57
X	10027985	10028038	mkk-4/WBGene00003368/clean	0	+	10	9.0433e-11	9.0433e-11	1	0	-	0	0	31	31	1	LowSplicing	1	37	0	0
X	9234407	9234465	col-175/WBGene00000748/clean	0	-	10	9.55991e-11	1	9.55991e-11	1	LowSplicing	1	20	0	0	0.00156006	-	0.0625	0	40	40
III	7004996	7005108	C06E8.5/WBGene00015544/clean	0	-	10	9.67173e-11	1	9.67173e-11	1	LowCover	0.705882	7	0	0	0	-	0	0	118	118
II	888665	888726	T07D3.4/WBGene00020307/clean	0	+	10	1.00492e-10	1.00492e-10	1	0.0933333	-	1	14	136	136	0.446154	NonUniformIntronCover	1	87	108	108
IV	8653099	8653333	C49C8.5/WBGene00016769/clean	0	-	10	1.09551e-10	1	1.09551e-10	0.943253	LowSplicing	0.633929	16.6222	1	1	0.0278481	-	0.446429	1.83333	64	64
III	13394345	13394397	qdpr-1/WBGene00011398/clean	0	+	10	1.22577e-10	1.22577e-10	1	0	-	0	0	789	789	0.0550162	-	1	17	292	292
V	4041028	4041095	C49G7.10/WBGene00016788/clean	0	-	10	1.74801e-10	1	1.74801e-10	0.327724	-	1	16.087	33	33	0.0286962	NonUniformIntronCover	0.649123	14.5652	493	493
IV	15402000	15402064	nhr-5/WBGene00003604/clean	0	+	10	1.9436e-10	1	1.9436e-10	0.30137	-	1	22	51	51	0	NonUniformIntronCover	0	0	120	120
III	8690680	8690741	B0303.4/WBGene00015126/clean	0	+	10	2.01008e-10	2.01008e-10	1	0.0031348	-	1	1	318	318	0.171831	-	1	14.5238	70	70
III	6120823	6120950	kin-18/WBGene00002201/clean	0	+	10	2.06695e-10	2.06695e-10	1	0	-	0	0	38	38	0.804878	NonUniformIntronCover	0.811966	33	8	8
V	7714553	7714612	ZK105.1/WBGene00022653/clean	0	+	10	2.30446e-10	2.30446e-10	1	0.00722022	NonUniformIntronCover	1	2	275	275	0.113413	-	1	110.524	864	864
IV	9796358	9796415	pis-1/WBGene00004031/clean	0	-	10	2.58497e-10	2.58497e-10	1	0	-	0	0	523	523	0.0711744	NonUniformIntronCover	1	20	261	261
I	9954869	9954926	T24D1.2/WBGene00011985/clean	0	-	10	2.62513e-10	2.62513e-10	1	0.000831947	-	0.978723	1	1201	1201	0.0333002	NonUniformIntronCover	1	26.4211	767	767
I	853487	853560	Y95B8A.8/WBGene00022388/clean	0	+	10	2.75206e-10	1	2.75206e-10	0.0272054	NonUniformIntronCover	1	81.0741	2899	2899	0.00489476	-	1	10	2033	2033
X	834984	835041	F39H12.1/WBGene00018212/clean	0	+	10	2.80109e-10	2.80109e-10	1	0	-	0	0	79	79	0.515152	NonUniformIntronCover	0.829787	17	16	16
IV	9405828	9406551	F56D5.6/WBGene00010150/clean	0	+	140	2.86797e-10	1	2.86797e-10	0.184475	NonUniformIntronCover	0.668954	8.59574	38	37	0.000879668	-	0.331046	0.387234	376	365
III	8155772	8155858	D2007.1/WBGene00017041/clean	0	+	10	2.94791e-10	2.94791e-10	1	0.0608951	-	0.855263	7.78125	120	120	0.525562	NonUniformIntronCover	0.684211	32.125	29	29
IV	9353411	9353465	C10C5.1/WBGene00007505/clean	0	-	10	3.17187e-10	3.17187e-10	1	0	-	0	0	51	51	0.596154	NonUniformIntronCover	1	31	21	21
II	2565363	2565415	usp-39/WBGene00017280/clean	0	+	10	3.25336e-10	1	3.25336e-10	0.63227	NonUniformIntronCover	1	168.5	98	94	0.205882	-	1	28	108	108
IV	7774871	7774926	swd-2.2/WBGene00016374/clean	0	+	10	3.48459e-10	3.48459e-10	1	0.00758397	NonUniformIntronCover	0.822222	7	916	916	0.0687361	-	1	31	420	420
III	5711813	5711864	B0336.3/WBGene00015143/clean	0	+	10	4.04805e-10	4.04805e-10	1	0	-	0	0	85	85	0.294789	NonUniformIntronCover	1	66.8824	160	160
V	6594276	6594333	hcp-1/WBGene00001829/clean	0	+	10	4.24762e-10	1	4.24762e-10	0.540984	-	1	165	140	140	0.228571	-	1	64	216	216
X	5841665	5841766	puf-9/WBGene00004245/clean	0	+	10	4.31812e-10	1	4.31812e-10	0.54321	NonUniformIntronCover	0.989011	27.3514	23	23	0	-	0	0	58	58
IV	15024250	15024375	Y41E3.7/WBGene00012765/clean	0	+	10	4.34439e-10	4.34439e-10	1	0	-	0	0	51	51	1	LowSplicing	0.878261	11.9149	0	0
III	4204788	4204857	R74.7/WBGene00011281/clean	0	+	10	4.4931e-10	4.4931e-10	1	0.0019084	NonUniformIntronCover	1	1	523	523	0.0829876	-	1	20	221	221
I	7070246	7070311	tofu-5/WBGene00012167/clean	0	+	10	4.64247e-10	4.64247e-10	1	0	-	0	0	46	46	0.852564	LowSplicing	0.672727	17.3478	3	3
V	6681094	6681315	egl-46/WBGene00001210/clean	0	-	10	4.70042e-10	4.70042e-10	1	0.00287133	-	0.227488	0	79	79	1	LowCover	0.469194	8.04706	0	0
V	14091209	14091296	him-5/WBGene00001864/clean	0	+	10	4.88907e-10	1	4.88907e-10	0.684103	NonUniformIntronCover	1	32.4839	14	14	0	-	0	0	40	40
IV	11036870	11036921	fkb-1/WBGene00001426/clean	0	+	10	5.04679e-10	1	5.04679e-10	0.0255624	NonUniformIntronCover	1	25	953	953	0	-	0	0	1250	1250
IV	8915669	8915852	C27B7.9/WBGene00007765/clean	0	-	10	5.3489e-10	5.3489e-10	1	0.00314997	-	0.236994	0	75	75	0.666667	NonUniformIntronCover	0.815029	12	6	6
III	1080342	1080404	rab-18/WBGene00004277/clean	0	-	10	6.67643e-10	1	6.67643e-10	0.373134	NonUniformIntronCover	1	25	42	42	0	-	0	0	84	84
V	13048245	13048301	W07G4.5/WBGene00012339/clean	0	+	10	7.51164e-10	7.51164e-10	1	0.0654206	NonUniformIntronCover	1	7	100	100	0.561404	-	1	32	25	25
V	9545713	9545927	his-41/WBGene00001915/clean	0	+	10	8.86165e-10	8.86165e-10	1	0.0430675	-	0.676471	1.89024	42	42	0.712751	NonUniformIntronCover	0.681373	74.439	30	30
V	2669091	2669826	W02G9.4/WBGene00020954/clean	0	+	10	9.01519e-10	1	9.01519e-10	0.31856	NonUniformIntronCover	0.944828	25.244	54	54	0.00150502	-	0.146207	0	97	97
I	10721134	10721193	B0205.9/WBGene00015023/clean	0	+	10	9.2317e-10	1	9.2317e-10	0.148508	-	1	42.9048	246	246	0.00483092	-	0.836735	1	206	206
IV	11143469	11143544	F01G4.4/WBGene00008503/clean	0	+	10	9.23493e-10	1	9.23493e-10	0.170135	NonUniformIntronCover	1	92.6667	452	452	0.00216056	-	0.292308	0	135	135
IV	12094646	12094697	F11A10.5/WBGene00008686/clean	0	+	10	9.50022e-10	9.50022e-10	1	0.00175793	-	0.487805	0.470588	277	277	0.144231	-	1	15	89	89
II	8964706	8964758	C18E9.4/WBGene00007684/clean	0	-	10	9.62776e-10	1	9.62776e-10	0.462963	NonUniformIntronCover	0.952381	25	29	29	0	-	0	0	66	66
X	5375297	5375451	sek-4/WBGene00018035/clean	0	+	10	9.62776e-10	9.62776e-10	1	0	-	0	0	88	88	0.348626	NonUniformIntronCover	0.458333	25.1552	47	47
X	11287401	11287471	F38B2.4/WBGene00009531/clean	0	-	10	9.63124e-10	1	9.63124e-10	0.211073	NonUniformIntronCover	0.683333	20.3333	76	76	0	-	0	0	162	162
III	7184675	7184772	F37C12.1/WBGene00018149/clean	0	+	10	1.05792e-09	1.05792e-09	1	0	-	0	0	81	81	0.380952	NonUniformIntronCover	0.701149	24	39	39
III	10404837	10404898	chl-1/WBGene00010839/clean	0	-	10	1.05973e-09	1	1.05973e-09	0.55477	-	1	343.905	276	264	0.278499	-	1	83.7619	217	209
IV	1193192	1193824	Y104H12D.3/WBGene00022427/clean	0	+	79	1.23446e-09	1.23446e-09	1	0	-	0	0	600	600	0.0883447	NonUniformIntronCover	0.537071	9.69058	100	100
